Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Mar,Sunday,Mazda,Urban,Wednesday,Mar,Male,Single,71,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,7,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Mar,Monday,Honda,Urban,Monday,Mar,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jan,Friday,Ford,Urban,Friday,Jan,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Friday,Honda,Rural,Wednesday,Feb,Male,Single,39,Third Party,Sedan - Collision,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Monday,Ford,Urban,Thursday,Feb,Male,Married,61,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Aug,Tuesday,Ford,Urban,Monday,Aug,Male,Single,38,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Apr,Thursday,Ford,Urban,Wednesday,May,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jul,Sunday,Chevrolet,Urban,Wednesday,Aug,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
May,Thursday,Pontiac,Urban,Monday,May,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Apr,Monday,Honda,Urban,Tuesday,May,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,0,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Apr,Friday,Mazda,Urban,Tuesday,May,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jan,Saturday,Chevrolet,Urban,Monday,Jan,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,Collision,Middle Age
Aug,Sunday,Mazda,Urban,Thursday,Aug,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability,Senior
Jun,Saturday,Pontiac,Urban,Tuesday,Jun,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Sep,Friday,Mazda,Urban,Friday,Sep,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,All Perils,Middle Age
Mar,Monday,Pontiac,Urban,Tuesday,Apr,Male,Married,60,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Mar,Thursday,Honda,Urban,Thursday,Jun,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,Young
May,Sunday,Accura,Urban,Friday,May,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Jul,Saturday,Honda,Urban,Tuesday,Sep,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,9,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
May,Monday,Mazda,Urban,Wednesday,May,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Mar,Friday,Dodge,Urban,Saturday,Mar,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,Collision,Middle Age
Mar,Sunday,Honda,Urban,Tuesday,Mar,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,6,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Mar,Wednesday,Chevrolet,Urban,Wednesday,Mar,Male,Single,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jan,Monday,Honda,Urban,Tuesday,Jan,Male,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Jan,Tuesday,Ford,Urban,Wednesday,Jan,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Oct,Wednesday,Chevrolet,Urban,Thursday,Oct,Male,Single,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Oct,Tuesday,Honda,Urban,Thursday,Oct,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Sep,Friday,Mazda,Urban,Friday,Sep,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Nov,Tuesday,Honda,Urban,Thursday,Nov,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,0,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Nov,Thursday,Toyota,Urban,Tuesday,Jan,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Mar,Wednesday,Chevrolet,Urban,Wednesday,Apr,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Mar,Friday,Pontiac,Urban,Wednesday,Mar,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,All Perils,Middle Age
Jul,Monday,Toyota,Urban,Monday,Jul,Female,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,Liability,Middle Age
Jan,Tuesday,Honda,Urban,Monday,Jan,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jan,Wednesday,Toyota,Urban,Wednesday,Jan,Male,Married,72,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Feb,Wednesday,Pontiac,Urban,Thursday,Feb,Female,Married,29,Third Party,Sedan - All Perils,Sedan,less than 20000,0,8,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Thursday,Pontiac,Urban,Monday,Feb,Male,Single,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,Collision,Adult
Nov,Thursday,Mazda,Urban,Friday,Nov,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Apr,Thursday,Chevrolet,Urban,Thursday,May,Female,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Apr,Friday,Pontiac,Urban,Tuesday,Apr,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
May,Friday,Pontiac,Urban,Friday,May,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jun,Wednesday,Pontiac,Urban,Friday,Jun,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,Adult
Jul,Sunday,Honda,Rural,Wednesday,Jan,Male,Married,21,Policy Holder,Sport - Collision,Sport,more than 69000,1,4,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Collision,Young
Jul,Saturday,Honda,Urban,Wednesday,Aug,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,13,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jun,Tuesday,Pontiac,Urban,Tuesday,Jun,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Dec,Monday,Mazda,Urban,Wednesday,Dec,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Jun,Friday,Honda,Urban,Thursday,Jun,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Friday,Accura,Urban,Monday,Nov,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
May,Monday,Honda,Rural,Wednesday,May,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
May,Wednesday,Chevrolet,Urban,Monday,May,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Nov,Monday,Toyota,Urban,Monday,Nov,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,5,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Sep,Tuesday,Pontiac,Urban,Friday,Jan,Male,Married,49,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Nov,Sunday,Honda,Urban,Friday,Jan,Male,Single,39,Third Party,Sedan - All Perils,Sedan,more than 69000,0,3,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Monday,Toyota,Urban,Tuesday,Mar,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability,Adult
Dec,Friday,Pontiac,Urban,Tuesday,Dec,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Dec,Friday,Mazda,Urban,Monday,Jan,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Mar,Friday,Mercury,Urban,Friday,Mar,Male,Single,40,Third Party,Sedan - Collision,Sedan,more than 69000,0,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Aug,Thursday,Mazda,Urban,Monday,Aug,Male,Married,65,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,Senior
Jan,Sunday,Toyota,Urban,Tuesday,Jan,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Jan,Sunday,Honda,Urban,Wednesday,Jan,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jan,Sunday,Honda,Urban,Wednesday,Jan,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jan,Tuesday,Mazda,Urban,Thursday,Jan,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Sep,Thursday,Chevrolet,Urban,Monday,Jan,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Monday,Honda,Urban,Tuesday,Jan,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Apr,Saturday,Mazda,Urban,Tuesday,May,Male,Married,60,Third Party,Sedan - Collision,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Aug,Saturday,Ford,Urban,Wednesday,Aug,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Tuesday,Chevrolet,Urban,Monday,Jan,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Friday,Honda,Urban,Tuesday,Feb,Female,Married,47,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Feb,Friday,Jaguar,Rural,Tuesday,Feb,Female,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Feb,Saturday,Toyota,Urban,Friday,Mar,Female,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jan,Wednesday,Pontiac,Urban,Wednesday,Jan,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Thursday,Mazda,Urban,Friday,Jan,Male,Single,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Dec,Friday,Chevrolet,Urban,Thursday,Apr,Male,Married,36,Third Party,Sedan - All Perils,Sedan,more than 69000,0,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,All Perils,Adult
Nov,Tuesday,Toyota,Urban,Friday,Feb,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Dec,Wednesday,Honda,Urban,Monday,Jan,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,Liability,Adult
Dec,Tuesday,Chevrolet,Rural,Tuesday,Mar,Male,Married,27,Policy Holder,Utility - Liability,Utility,more than 69000,0,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
May,Tuesday,Toyota,Urban,Wednesday,May,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
May,Sunday,Mazda,Urban,Wednesday,May,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Oct,Saturday,Pontiac,Urban,Monday,Oct,Male,Married,74,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,Senior
Oct,Sunday,Honda,Urban,Monday,Oct,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Liability,Young
Oct,Sunday,Honda,Urban,Tuesday,Oct,Female,Single,25,Third Party,Sport - Collision,Sport,more than 69000,0,2,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,Young
Jan,Wednesday,Pontiac,Urban,Wednesday,Jan,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,Liability,Adult
Jan,Thursday,Honda,Urban,Monday,Jan,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Aug,Saturday,Pontiac,Urban,Monday,Aug,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Nov,Thursday,Honda,Urban,Friday,Jan,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,1,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
May,Tuesday,Honda,Urban,Thursday,May,Male,Married,61,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Senior
Nov,Friday,Toyota,Urban,Tuesday,Jan,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Thursday,Toyota,Urban,Monday,Jan,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Monday,Pontiac,Urban,Wednesday,Jan,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jan,Friday,Pontiac,Urban,Monday,Jan,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Tuesday,Chevrolet,Urban,Wednesday,Jan,Male,Married,31,Policy Holder,Utility - All Perils,Utility,more than 69000,1,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jan,Saturday,Pontiac,Urban,Monday,Jan,Female,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Friday,Ford,Urban,Monday,Feb,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Jan,Thursday,Mazda,Urban,Tuesday,Jan,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Tuesday,Pontiac,Urban,Thursday,Jan,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Dec,Friday,Dodge,Urban,Saturday,Dec,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,Adult
Aug,Monday,Mazda,Urban,Thursday,Aug,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Nov,Sunday,Pontiac,Urban,Thursday,Apr,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jun,Thursday,Chevrolet,Urban,Thursday,Oct,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Mar,Thursday,Honda,Urban,Friday,Mar,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
